,date,time,code_call,code_put,price_call,price_put,delta_call,delta_put,d2e,k_x,timeleft,gamma,gamma_percentage,vega,theta,rho,iv,k0,r,code_x,cp,k_y,contract_unit,expire_date,atm,expiration_state,code_y,exchange,close
50,2020-01-02,0 days 14:55:00,10002072.SH,10002081.SH,0.1017,0.0871,0.5388,-0.4612,53.0,3.1,5.0,1.6705,0.0515,0.0057,-0.0012,0.0034,0.1658,0.0058,0.0479,10002072.SH,C,3.1,10000.0,2020-03-25,1.0,3.0,510050.SH,,3.082
51,2020-01-02,0 days 14:55:00,10002073.SH,10002082.SH,0.0616,0.1464,0.3806,-0.6194,53.0,3.2,5.0,1.5703,0.0484,0.0055,-0.0011,0.0024,0.1692,0.0376,0.0488,10002073.SH,C,3.2,10000.0,2020-03-25,0.0,3.0,510050.SH,,3.082
52,2020-01-02,0 days 14:55:00,10002083.SH,10002092.SH,0.4599,0.0129,0.8904,-0.1096,114.0,2.7,5.0,0.4626,0.0143,0.0039,-0.0007,0.0106,0.1929,-0.1323,0.0444,10002083.SH,C,2.7,10000.0,2020-06-24,0.0,4.0,510050.SH,,3.082
53,2020-01-02,0 days 14:55:00,10002084.SH,10002093.SH,0.4153,0.0182,0.8697,-0.1303,114.0,2.75,5.0,0.5419,0.0167,0.0045,-0.0008,0.0105,0.1859,-0.114,0.0445,10002084.SH,C,2.75,10000.0,2020-06-24,0.0,4.0,510050.SH,,3.082
54,2020-01-02,0 days 14:55:00,10002085.SH,10002094.SH,0.3735,0.025,0.8437,-0.1563,114.0,2.8,5.0,0.6294,0.0194,0.005,-0.0008,0.0104,0.181,-0.096,0.0454,10002085.SH,C,2.8,10000.0,2020-06-24,0.0,4.0,510050.SH,,3.082
55,2020-01-02,0 days 14:55:00,10002086.SH,10002095.SH,0.3334,0.0343,0.8108,-0.1892,114.0,2.85,5.0,0.7232,0.0223,0.0057,-0.0008,0.0101,0.178,-0.0783,0.0458,10002086.SH,C,2.85,10000.0,2020-06-24,0.0,4.0,510050.SH,,3.082
56,2020-01-02,0 days 14:55:00,10002087.SH,10002096.SH,0.2949,0.046,0.7719,-0.2281,114.0,2.9,5.0,0.8182,0.0252,0.0064,-0.0009,0.0097,0.1757,-0.0609,0.0457,10002087.SH,C,2.9,10000.0,2020-06-24,0.0,4.0,510050.SH,,3.082
57,2020-01-02,0 days 14:55:00,10002088.SH,10002097.SH,0.2588,0.0601,0.728,-0.272,114.0,2.95,5.0,0.9073,0.028,0.007,-0.0009,0.0092,0.174,-0.0438,0.0456,10002088.SH,C,2.95,10000.0,2020-06-24,0.0,4.0,510050.SH,,3.082
58,2020-01-02,0 days 14:55:00,10002089.SH,10002098.SH,0.2276,0.0763,0.682,-0.318,114.0,3.0,5.0,0.978,0.0301,0.0075,-0.0009,0.0087,0.1735,-0.027,0.0473,10002089.SH,C,3.0,10000.0,2020-06-24,0.0,4.0,510050.SH,,3.082
59,2020-01-02,0 days 14:55:00,10002090.SH,10002099.SH,0.1722,0.118,0.5807,-0.4193,114.0,3.1,5.0,1.0691,0.0329,0.0082,-0.001,0.0075,0.1738,0.0058,0.0493,10002090.SH,C,3.1,10000.0,2020-06-24,1.0,4.0,510050.SH,,3.082
